Name,Overall,Pace,Shooting,Passing,Dribbling,Defense,Physical
Ivan Perišić,88,88,87,87,87,46,81
Carlos Tévez,88,84,88,79,84,47,82
Lorenzo Insigne,88,91,82,85,92,26,52
James Rodríguez,88,78,88,90,86,42,72
Zlatan Ibrahimović,88,65,88,81,82,32,82
Timo Werner,88,95,89,76,91,33,73
Robin van Persie,88,78,89,81,84,49,73
Bastian Schweinsteiger,88,65,82,86,83,82,80
Azpilicueta,88,85,62,83,80,88,81
Jordi Alba,88,94,80,82,85,83,75
Javi Martinez,88,65,70,82,76,88,88
Isco,88,73,88,87,91,56,66
Romelu Lukaku,88,85,89,74,78,37,86
Edinson Cavani,88,77,85,73,81,42,82
Ciro Immobile,88,86,91,74,86,46,83
Thomas Müller,88,79,87,81,81,48,74
Christian Eriksen,88,75,80,89,85,47,63
Harry Kane,88,73,89,75,81,42,84
Paul Pogba,88,76,79,86,85,68,88
N'Golo Kanté,88,82,66,76,81,82,84
Jordi Alba,88,94,72,78,84,85,77
Pierre-Emerick Aubame...,88,96,84,75,81,37,71
Coutinho,88,84,82,89,91,37,67
Ivan Rakitić,88,66,86,89,84,61,67
Miralem Pjanić,88,76,75,92,88,74,72
Jordi Alba,88,94,72,79,85,83,76
Joshua Kimmich,88,79,77,93,91,88,83
Casemiro,88,65,73,79,75,89,89
Marco Verratti,88,66,61,87,90,80,70
Mauro Icardi,88,82,89,68,83,31,77
Lorenzo Insigne,88,91,80,86,92,26,53
Arturo Vidal,88,76,84,82,81,84,85
Iniesta,88,72,73,89,91,59,60
Marcel Desailly,88,83,54,69,67,88,88
Javier Zanetti,88,83,61,85,82,87,80
Frank Rijkaard,88,78,73,79,78,88,85
Andriy Shevchenko,88,84,89,72,85,35,75
Jari Litmanen,88,83,89,81,83,33,64
Alessandro Nesta,88,70,40,63,65,90,85
Lothar Matthäus,88,82,82,87,77,90,80
Rui Costa,88,82,80,87,86,47,76
Patrick Kluivert,88,86,84,79,82,39,81
Emmanuel Petit,88,75,77,81,77,86,88
Marc Overmars,88,95,81,80,88,44,64
Paolo Maldini,88,87,54,73,64,90,78
Dries Mertens,88,91,85,83,91,37,58
Leonardo Bonucci,88,68,54,70,71,87,81
Romelu Lukaku,88,85,89,74,78,37,86
James Rodríguez,88,78,88,90,86,42,72
Robert Pirès,88,88,80,86,86,40,62
Patrick Vieira,88,85,75,80,84,86,89
Michael Owen,88,91,86,66,87,31,62
Roberto Carlos,88,90,81,86,79,83,85
Rio Ferdinand,88,80,48,65,64,89,82
Thiago,88,72,75,85,90,62,63
Jérôme Boateng,88,75,50,72,68,88,84
Antoine Griezmann,88,86,85,78,87,30,68
Mesut Özil,88,71,74,87,86,24,58
Mats Hummels,88,64,58,75,72,89,76
Leonardo Bonucci,88,68,54,70,71,87,81
Arjen Robben,88,86,86,81,90,32,63
Thiago Silva,88,72,56,73,74,88,79
Zlatan Ibrahimović,88,65,88,81,82,32,82
Pierre-Emerick Aubame...,88,96,84,75,81,37,71
Diego Godín,88,65,48,65,64,88,78
Paulo Dybala,88,86,85,81,91,24,67
Vincent Kompany,87,69,59,73,67,88,86
Olivier Giroud,87,60,91,79,83,45,89
Ryan Sessegnon,87,92,85,86,88,76,79
Iago Aspas,87,85,90,82,90,35,71
Dele Alli,87,80,86,82,88,68,82
Koke,87,74,82,89,85,68,79
Marko Arnautović,87,84,86,86,88,60,87
Quaresma,87,87,84,90,93,28,66
Miranda,87,72,52,61,69,90,79
David Alaba,87,88,79,83,81,83,75
Edin Džeko,87,67,88,76,80,36,77
Ángel Di María,87,90,83,84,88,50,71
David Alaba,87,87,78,84,83,84,76
Michy Batshuayi,87,86,91,77,87,37,85
Franck Ribéry,87,83,81,84,91,26,59
Sergej Milinković-Savić,87,77,86,86,87,84,88
Raheem Sterling,87,95,82,84,88,51,72
Alex Sandro,87,87,69,78,83,82,85
Willian,87,90,83,87,89,54,70
Roberto Firmino,87,83,88,86,91,52,83
Olivier Giroud,87,60,91,79,83,45,89
Sergio Busquets,87,40,62,79,78,82,81
Coutinho,87,82,80,84,89,35,65
Jordi Alba,87,93,70,77,83,82,74
Ángel Di María,87,88,83,86,89,49,70
Sergej Milinković-Savić,87,77,86,86,87,84,88
Karim Benzema,87,79,86,81,84,23,76
Lorenzo Insigne,87,90,77,84,91,25,51
Dries Mertens,87,90,83,81,90,36,56
Timo Werner,87,94,87,73,90,32,71
Sadio Mané,87,95,85,83,88,41,78
Willian,87,90,83,87,89,54,70
Alex Sandro,87,87,69,78,83,82,85
Parejo,87,58,83,91,85,71,77
Roberto Firmino,87,83,88,86,91,52,83
Michy Batshuayi,87,86,91,77,87,37,85
Naldo,87,73,77,72,68,89,81
Thomas Müller,87,78,85,79,79,47,73
Nabil Fekir,87,84,88,85,91,38,82
James Rodríguez,87,77,87,87,85,41,70
Heung Min Son,87,90,89,83,89,35,73
Ciro Immobile,87,85,90,70,85,43,81
Medhi Benatia,87,77,46,62,70,88,86
Radja Nainggolan,87,79,84,82,83,81,83
Azpilicueta,87,80,56,78,76,89,82
Nicolás Otamendi,87,66,65,67,61,89,86
Ivan Perišić,87,87,85,84,86,45,80
Coutinho,87,83,80,86,89,36,66
Raheem Sterling,87,95,82,84,88,51,72
Casemiro,87,64,71,77,73,88,88
Radja Nainggolan,87,80,82,80,84,82,84
Shkodran Mustafi,87,71,63,70,66,87,84
Leroy Sané,87,95,87,83,90,40,80
Romelu Lukaku,87,84,87,72,77,35,85
Mohamed Salah,87,94,83,80,90,50,76
Franck Ribéry,87,84,78,84,90,25,63
Karim Benzema,87,80,85,80,83,22,77
Joshua Kimmich,87,78,74,91,88,86,81
Mauro Icardi,87,81,88,65,80,30,74
Isco,87,72,85,85,90,55,64
Morata,87,85,84,74,84,28,77
Sadio Mané,87,95,83,80,89,45,81
Azpilicueta,87,81,56,80,75,88,81
Miralem Pjanić,87,75,72,90,87,72,71
Morata,87,85,84,74,84,28,77
Alan Shearer,87,76,88,76,76,53,84
Marcel Desailly,87,84,47,61,61,85,87
Javier Zanetti,87,88,59,82,80,83,80
Filippo Inzaghi,87,81,88,67,82,35,67
Luis Hernández,87,91,86,73,87,47,68
Hernán Crespo,87,86,88,71,86,40,72
Dennis Bergkamp,87,76,85,85,87,38,73
Henrik Larsson,87,85,84,77,82,44,71
Alessandro Del Piero,87,88,88,84,89,40,70
Deco,87,80,77,87,87,45,63
Jay-Jay Okocha,87,83,79,84,91,41,58
Thierry Henry,87,93,82,79,87,43,68
Edinson Cavani,87,77,83,72,80,42,81
Paul Pogba,87,74,79,84,84,68,88
N'Golo Kanté,87,81,66,75,80,81,84
Ivan Rakitić,87,65,84,86,82,60,66
David Silva,87,68,72,87,87,38,61
Marek Hamšík,87,74,80,84,84,68,70
Piqué,87,65,61,69,66,86,76
Marcelo,87,78,69,80,85,82,79
Christian Eriksen,87,75,78,88,84,47,63
Marco Verratti,87,65,59,84,89,79,68
Iniesta,87,71,70,87,90,58,58
Arturo Vidal,87,75,81,80,79,83,84
Wilfried Zaha,86,94,83,78,91,40,80
Dimitri Payet,86,81,80,89,88,39,71
Koke,86,73,78,87,83,67,77
Aaron Ramsey,86,72,86,85,86,71,79
Quincy Promes,86,91,86,82,90,36,75
Łukasz Teodorczyk,86,78,87,71,78,29,87
Sami Khedira,86,68,80,83,78,82,86
Dimitri Payet,86,79,82,88,89,39,72
Santi Cazorla,86,70,83,88,88,63,66
Matthijs de Ligt,86,80,65,78,78,87,88
Kyle Walker,86,91,65,77,78,84,84
Nemanja Matić,86,66,75,83,76,83,89
Juanfran,86,85,62,84,81,86,80
Wissam Ben Yedder,86,87,88,82,89,39,73
Yaya Touré,86,76,85,84,80,80,90
Sadio Mané,86,94,83,77,87,37,78
Riyad Mahrez,86,88,83,87,92,31,63
Alessandro Florenzi,86,89,85,84,88,83,84
Julian Draxler,86,80,83,85,89,38,70
İlkay Gündoğan,86,72,77,86,88,65,72
Edin Džeko,86,66,86,74,78,35,75
Jonas,86,69,90,82,88,40,69
Franco Vázquez,86,69,86,87,89,47,79
Leroy Sané,86,95,83,80,88,36,75
Filipe Luís,86,81,62,78,78,83,80
Casemiro,86,63,69,74,72,86,87
Anderson Talisca,86,82,89,89,86,70,80
Quaresma,86,86,83,87,92,23,64
Vincent Kompany,86,68,58,67,66,86,85
Mauro Icardi,86,79,85,61,78,28,72
Ivan Perišić,86,86,81,80,84,43,76
Miralem Pjanić,86,74,70,87,86,71,70
İlkay Gündoğan,86,72,77,86,88,65,72
Michy Batshuayi,86,85,90,74,85,34,83
Azpilicueta,86,79,55,77,74,87,79
Kamil Glik,86,58,33,46,56,88,86
Marco Asensio,86,80,84,86,86,42,64
Giacomo Bonaventura,86,81,84,87,86,74,77
Marlos,86,87,84,87,90,55,71
Giuliano,86,86,85,86,88,53,79
Andrej Kramarić,86,79,88,81,90,33,79
Jan Vertonghen,86,69,66,74,71,87,83
Florian Thauvin,86,86,86,85,88,41,68
Henrikh Mkhitaryan,86,87,81,84,88,55,71
Diego Costa,86,75,83,65,76,40,88
Ángel Di María,86,87,80,84,88,48,69
Henrikh Mkhitaryan,86,87,81,84,88,55,71
Nacho Fernández,86,80,47,74,72,88,84
Matthias Ginter,86,73,71,83,74,87,84
Sergej Milinković-Savić,86,76,85,84,86,82,87
Coutinho,86,82,78,83,88,35,64
Kalidou Koulibaly,86,76,29,51,58,88,87
Yacine Brahimi,86,85,82,84,91,40,63
Bas Dost,86,64,90,63,68,47,87
Diego Costa,86,75,83,65,76,40,88
Sebastian Giovinco,86,85,86,85,89,32,65
Willian,86,89,80,85,88,53,68
Dele Alli,86,79,83,80,86,67,81
Roberto Firmino,86,82,86,84,90,50,81
Marko Arnautović,86,82,83,85,87,59,86
Fabinho,86,76,70,80,80,85,86
Laurent Koscielny,86,77,44,68,68,87,81
Raffael,86,77,87,86,90,47,73
Ander Herrera,86,75,77,85,85,81,80
Henrikh Mkhitaryan,86,87,82,82,88,55,72
Julian Draxler,86,80,84,86,88,37,68
Kalidou Koulibaly,86,75,30,48,60,87,88
Riyad Mahrez,86,85,81,87,91,31,59
Heung Min Son,86,89,87,81,87,32,71
Ricardo Rodríguez,86,79,76,88,83,84,78
Kylian Mbappé,86,93,85,83,89,51,78
Iago Aspas,86,84,88,80,89,33,69
Omar Al Soma,86,82,87,80,83,48,84
Medhi Benatia,86,76,45,60,68,87,84
Sadio Mané,86,94,82,80,87,38,77
Leroy Sané,86,95,83,80,88,36,75
Marco Asensio,86,80,84,86,86,42,64
Giuliano,86,86,85,86,88,53,79
Fernandinho,86,75,76,86,82,84,83
Olivier Giroud,86,56,89,78,82,44,87
Nicolás Otamendi,86,65,62,65,60,88,84
Vincent Kompany,86,66,57,66,65,85,84
Yannick Carrasco,86,89,81,80,88,30,67
Raheem Sterling,86,94,79,81,87,48,69
Ciro Immobile,86,84,88,67,83,41,80
Quincy Promes,86,92,87,84,88,35,73
Blaise Matuidi,86,79,70,79,77,83,85
Mohamed Salah,86,94,81,79,89,48,73
Kylian Mbappé,86,93,85,83,89,51,78
Kyle Walker,86,91,65,77,78,84,84
Frank Rijkaard,86,70,67,77,75,86,81
Andriy Shevchenko,86,88,90,67,85,32,71
Henrik Larsson,86,86,86,74,84,46,72
Marc Overmars,86,88,78,79,87,48,65
Patrick Kluivert,86,87,83,77,81,37,76
André-Pierre Gignac,86,76,89,78,80,48,87
Quaresma,86,86,82,85,92,28,66
Falcao,86,71,88,72,82,38,77
Shkodran Mustafi,86,70,61,66,65,86,82
Carles Puyol,86,76,44,68,58,88,89
Patrick Vieira,86,81,75,80,79,86,89
Michael Owen,86,84,86,67,85,35,64
Roberto Carlos,86,92,80,79,81,81,78
Ruud Gullit,86,80,80,86,82,83,78
Cesc Fàbregas,86,63,77,88,81,60,64
Diego Costa,86,75,83,65,76,40,88
Coutinho,86,82,78,83,88,35,64
David Alaba,86,86,73,81,80,82,74
Dries Mertens,86,90,82,79,89,36,55
Miranda,86,71,49,60,68,88,77
Karim Benzema,86,78,84,77,82,22,74
Javi Martinez,86,50,60,69,66,86,80
James Rodríguez,86,76,85,85,83,40,68
Romelu Lukaku,86,83,85,70,74,34,84
Toby Alderweireld,86,66,58,72,66,87,80
Thomas Müller,86,77,82,77,78,46,71
Sergio Busquets,86,40,59,79,74,82,81
Radja Nainggolan,86,78,80,78,82,81,83
David Luiz,86,70,64,74,71,84,81
Alex Sandro,86,86,65,77,81,81,84
Sokratis,86,78,52,55,61,87,84
Pepe,86,68,50,57,61,86,80
Harry Kane,86,71,87,72,79,42,83
Isco,86,71,83,82,89,54,62
Franck Ribéry,86,82,76,83,89,25,58
Marco Reus,86,88,87,84,85,39,64
Ricardo Pereira,85,91,70,87,86,84,78
Douglas Costa,85,95,80,84,90,35,67
Bradley Dack,85,87,86,84,83,60,81
Andrea Belotti,85,84,86,60,83,31,86
Marcelo,85,72,58,68,68,87,89
Memphis Depay,85,93,86,82,87,37,82
Bobô,85,80,87,80,82,37,80
Luis Alberto,85,80,84,90,88,33,63
Juan Cuadrado,85,93,82,82,90,65,70
Timo Werner,85,94,85,75,86,30,68
Sead Kolašinac,85,83,61,74,75,84,93
Paulinho,85,78,83,82,85,80,79
Josip Iličić,85,76,88,86,86,41,70
Naby Keïta,85,75,78,81,91,64,72
Raúl Albiol,85,60,45,62,64,88,80
Danilo Pereira,85,70,70,74,78,85,90
Yannick Bolasie,85,93,78,78,92,34,85
Leon Goretzka,85,86,79,84,82,82,80
Koke,85,72,75,86,81,65,76
Ciro Immobile,85,83,86,62,82,38,78
Medhi Benatia,85,74,44,55,65,86,83
Manuel Fernandes,85,84,86,86,88,74,77
Valère Germain,85,83,87,82,86,35,73
Fernandinho,85,73,74,80,78,80,81
Nicolás Otamendi,85,63,58,61,58,85,82
Morata,85,83,81,71,81,23,74
Mohamed Salah,85,93,77,76,87,45,72
Kévin Gameiro,85,88,87,80,82,38,70
William Carvalho,85,55,65,80,76,82,85
Alex Telles,85,88,70,87,83,84,80
Michy Batshuayi,85,84,89,70,84,33,81
Henrikh Mkhitaryan,85,86,79,80,86,54,70
Juanfran,85,84,61,80,80,84,79
Quaresma,85,85,80,86,91,20,63
Pablo Sarabia,85,82,84,88,89,38,62
Leon Bailey,85,96,85,84,89,35,75
Timo Werner,85,93,85,69,88,30,68
Daniel Wass,85,80,82,89,87,73,76
Luiz Gustavo,85,72,72,76,77,86,84
Naby Keïta,85,74,80,80,90,64,72
Timo Werner,85,94,83,71,86,30,69
Naldo,85,71,75,69,68,87,79
Virgil van Dijk,85,75,65,72,72,85,87
Thomas Lemar,85,87,82,85,88,65,72
Giacomo Bonaventura,85,80,82,85,85,72,75
Dani Alves,85,83,70,83,86,79,68
Roberto Firmino,85,80,85,83,88,48,80
Diego Valeri,85,72,87,87,85,42,70
Jonas,85,68,88,80,86,38,68
Éver Banega,85,71,75,88,86,66,70
Stefan de Vrij,85,70,46,62,68,87,79
Javier Pastore,85,73,80,86,87,61,68
Andreas Granqvist,85,54,70,70,62,87,83
Javier Pastore,85,73,80,86,87,61,68
William Carvalho,85,55,65,80,76,82,85
Raphaël Varane,85,79,45,61,65,84,79
Kylian Mbappé,85,92,83,80,87,50,76
Parejo,85,56,80,89,82,68,75
Riyad Mahrez,85,84,78,84,90,30,58
Bas Dost,85,62,88,62,66,46,85
Sami Khedira,85,67,77,81,77,81,85
Ivan Perišić,85,85,82,80,84,43,77
Iago Aspas,85,83,86,78,88,31,67
Nabil Fekir,85,82,84,82,90,33,80
Leon Goretzka,85,86,79,84,82,82,80
Yacine Brahimi,85,83,79,82,90,38,61
Jari Litmanen,85,76,85,84,80,33,61
Filippo Inzaghi,85,74,86,65,79,35,62
Michael Laudrup,85,87,74,84,89,35,63
Gheorghe Hagi,85,86,84,85,87,37,63
Rui Costa,85,84,76,84,83,42,74
Luis Hernández,85,93,84,72,84,49,68
Hernán Crespo,85,86,86,70,84,37,70
Emmanuel Petit,85,80,73,80,78,86,83
Laurent Blanc,85,83,82,75,84,79,78
Antonio Valencia,85,89,70,80,84,81,86
Danilo Pereira,85,70,67,73,77,85,89
Joshua Kimmich,85,76,71,89,86,83,78
Douglas Costa,85,95,80,84,90,35,67
Alexandre Lacazette,85,86,83,71,85,38,77
Robert Pirès,85,72,80,86,82,44,66
Deco,85,78,78,87,85,45,65
Jay-Jay Okocha,85,88,80,79,92,37,59
Rio Ferdinand,85,84,48,65,70,84,83
Alexandre Lacazette,85,86,83,71,85,38,77
Ángel Di María,85,86,77,82,85,47,68
Casemiro,85,62,68,74,72,84,86
Filipe Luís,85,79,62,77,78,82,79
Miralem Pjanić,85,74,70,86,86,67,69
Jan Vertonghen,85,67,65,72,70,85,81
Henrikh Mkhitaryan,85,86,79,80,86,54,70
Claudio Marchisio,85,78,72,83,84,76,74
İlkay Gündoğan,85,71,74,83,87,64,71
Vincent Kompany,85,63,54,65,65,84,83
Kamil Glik,85,56,32,44,55,86,84
Raphaël Varane,85,79,45,61,65,84,79
Jordi Alba,85,93,69,75,82,81,72
Andrea Barzagli,85,71,34,57,65,88,73
Blaise Matuidi,85,78,67,77,76,82,84
Azpilicueta,85,79,55,74,74,86,78
Yannick Carrasco,85,88,79,78,87,29,63
Lorenzo Insigne,85,90,74,82,89,25,50
Nicolás Castillo,84,75,88,74,83,43,87
Ryan Babel,84,90,85,78,88,42,81
Sandro Wagner,84,67,87,66,74,35,87
Will Grigg,84,89,84,67,81,45,84
Teemu Pukki,84,89,85,70,86,35,80
Aritz Elustondo,84,78,47,73,70,84,80
Thorgan Hazard,84,84,83,84,87,40,69
Mathieu Debuchy,84,76,75,82,82,85,82
Raúl,84,57,70,70,65,84,88
Jordan Henderson,84,74,76,85,79,79,83
Keita Baldé Diao,84,93,82,77,88,31,73
Vincent Aboubakar,84,86,85,82,86,31,85
Jesse Lingard,84,89,84,82,89,58,76
Cenk Tosun,84,79,87,77,85,35,84
Hakim Ziyech,84,79,82,89,83,54,67
Josef Alexander Martínez,84,92,84,77,87,36,82
Gelson Martins,84,95,78,81,89,46,63
Sead Kolašinac,84,82,60,72,68,82,91
Keisuke Honda,84,84,86,83,83,54,74
Marcus Rashford,84,94,85,79,86,43,79
Raúl García,84,60,84,85,80,70,79
Carlos Vela,84,86,85,82,84,27,68
Serge Aurier,84,87,70,78,81,83,87
Jonathan Tah,84,74,29,65,60,85,81
Carlos Vela,84,86,85,82,84,27,68
Bernardo Silva,84,81,72,81,89,45,61
Thorgan Hazard,84,84,83,84,87,40,69
Gelson Martins,84,95,78,81,89,46,63
Thomas Lemar,84,85,78,82,87,62,71
Carvajal,84,82,45,73,79,82,78
Mario Gómez,84,74,85,65,78,31,80
Yacine Brahimi,84,81,75,78,89,34,59
Jonas,84,66,86,76,85,35,66
Parejo,84,54,77,87,78,65,72
